Tweets
"RT @kennardmatt: The Azov Battalion was a neo-Nazi paramilitary unit made up of football hooligans. Soon after the ""Maidan revolution"" in 2…"
RT @john_sipher: “A free Ukraine will pull Russia westward if it isn’t brought to heel.” https://t.co/NjGViJWzHc
RT @Reuters: President Joe Biden said that he would consider imposing direct sanctions on President Vladimir Putin if Russia invades Ukrain…
RT @DCBMEP: .@BorisJohnson on top form at #PMQs - Labour look sunken behind Starmer; who has missed his target: ‘a lawyer not a Leader’. No…
RT @DonaldJTrumpJr: Americas kids dying in a European land war with Russia is a small price to pay for Hunter Biden and fam to get rich AF…
"RT @WriterJackWhite: As @nato meets Russia under Putin's blackmail of 100,000 troops to invade Ukraine. In 2018 after NATO meet after Salis…"
"RT @JuliaDavisNews: The tactic of terrorizing American audiences with the possibility of nuclear war, in order to undermine U.S. support fo…"
RT @BestForBritain: That’s strange. The PM told Parliament he is the one leading Europe on Ukraine negotiations. He’s not even in the room.…
@davnrussell @ASBMilitary All this could be resolved if Ukraine remains neutral it’s really simple. No need for a N… https://t.co/nTRWngCO11
RT @BestForBritain: That’s strange. The PM told Parliament he is the one leading Europe on Ukraine negotiations. He’s not even in the room.…
"RT @JohnCleese: So Fox News is on Russia's side in the conflict with Ukraine

Not surprising really ; Rupert Murdoch isn't a big fan 
of de…"
"RT @zerohedge: UKRAINE PRESIDENT SAYS THE SITUATION IN THE EAST IS UNDER CONTROL

is it over?"
RT @JackPosobiec: BREAKING: Only 31% want US troops to defend Ukraine - Rasmussen
"RT @brianlilley: Today, PM @JustinTrudeau announced that Canada will standby Ukraine and send 60 more soldiers. Could send 140 more later.…"
"RT @Bubblebathgirl: Why is Biden planning a national address on the Ukraine “crisis” — but not on the US border, economy, or supply chain c…"
"RT @tavisupleba: “Russia would be unwise to attack Ukraine and in that case Turkey would do what is necessary as a NATO member, President T…"
RT @BestForBritain: That’s strange. The PM told Parliament he is the one leading Europe on Ukraine negotiations. He’s not even in the room.…
RT @ianbremmer: Ukraine vs Russia military by the numbers: https://t.co/fsZF4Tkdib
"RT @ASLuhn: Blinken says the written response to Russia's demands ""reiterates what we've said publicly...that we will uphold the principle…"
RT @LeftFlankVets: United States got weapons to Ukraine faster than Covid tests to its citizens
RT @realTanyaTay: Can someone please explain how going war in Ukraine puts the food on shelves at the supermarket for my kids and makes gas…
RT @Blacks4Peace: The Biden admin has no moral authority to help Ukraine or any place else in the world. The US are in fact habitual violat…
"RT @laurenboebert: Are we all just going to not bring up the $183,000 per month payments from Burisma to Hunter Biden as all this goes down…"
Russia-Ukraine Crisis Already Paying Dividends For Putin https://t.co/Ww4WgWRICL via @American Conservatives
"RT @john_sipher: “Ukraine may pay a terrible price initially for this resistance, but if the West stays united in opposing Putin, he’ll los…"
"RT @RichardEngel: A western Intelligence official tells me, his analysis is that Putin’s goal is to topple President Zelensky and make Ukra…"
RT @bealejonathan: Ukraine crisis: UK 'not optimistic' Russian invasion can be stopped - BBC News https://t.co/7POBUeYCHE
RT @JRubinBlogger: Opinion | Russia’s looming invasion of Ukraine shows why Trump’s first impeachment was necessary and proper &lt;-- this htt…
"RT @Ladyinyellow__: How did my healthy brother die in Ukraine overnight?

A thread.

That's my brother, Fadlullah Agboluaje in this picture…"
"RT @ABC: “Our message now for any Americans in Ukraine is to strongly consider leaving,” Sec. of State Antony Blinken says amid threat of R…"
"RT @dwnews: BREAKING: Political advisers from Russia, Ukraine, Germany and France have agreed to an ""unconditional observance of the cease…"
@The_Apostate44 @AnaKasparian I think the unquestioned best move here is to back keeping Ukraine an independent cou… https://t.co/YlEL9fL32i
RT @LeftFlankVets: United States got weapons to Ukraine faster than Covid tests to its citizens
RT @hrkbenowen: The US Embassy in Ukraine Urges American Citizens to Consider Departing NOW https://t.co/LM2yB7cF7U
"RT @Ladyinyellow__: How did my healthy brother die in Ukraine overnight?

A thread.

That's my brother, Fadlullah Agboluaje in this picture…"
RT @afshinrattansi: But why are you supporting the sending of weapons to troops amalgamated with Ukraine's neo-Nazi Azov Battalion? https:/…
"RT @Reuters: President Joe Biden does not intend to send unilateral U.S. troops to Ukraine, White House Spokesperson Jen Psaki said, after…"
RT @JuliaDavisNews: Tuckyo Rose is in full bloom on #Russia's state TV. Multiple clips of Tucker Carlson's rants are being used to corrobor…
RT @LOS_Fisher: BREAKING: Britain is in talks to send thousands of extra troops to Eastern Europe *before* any potential Russian invasion o…
@yashalevine The Ukraine/Ukraine is the funniest conniption as using The makes the country sound so much cooler.
"@McTeagle74 @AFP @shauntandon @ADAMPLOW @jonathaneebrown What the hell r U on about? Moment Ukraine joins NATO, Ame… https://t.co/14ILQBjMUS"
RT @LeftFlankVets: United States got weapons to Ukraine faster than Covid tests to its citizens
"RT @Ladyinyellow__: How did my healthy brother die in Ukraine overnight?

A thread.

That's my brother, Fadlullah Agboluaje in this picture…"
RT @IlvesToomas: Germany’s appeasement of Putin risks disaster in Ukraine https://t.co/DQfMMxJqHs
"RT @DavidPriess: The western part of Ukraine is closer to *Italy* than Ukraine’s capital Kyiv is to Moscow.

Remember this fact as Russian…"
"RT @RealPepeEscobar: Pay CLOSE attention to head of Donetsk People’s Republic, D. Pushilin, with his ears on the ground: 

""Ukraine is curr…"
"RT @Ladyinyellow__: How did my healthy brother die in Ukraine overnight?

A thread.

That's my brother, Fadlullah Agboluaje in this picture…"
RT @GoodPoliticGuy: The US government sent lethal weapons to Ukraine before sending us free Covid tests.
"RT @WriterJackWhite: As @nato meets Russia under Putin's blackmail of 100,000 troops to invade Ukraine. In 2018 after NATO meet after Salis…"
@WalkerMarcus @OwenEdwards Russia has a history of invading then regretting it - Poland 1920; Finland 1940; Afghani… https://t.co/GTtGxr44km
RT @mariekedehoon: At Eur Court of Human Rights (ECtHR) for the #MH17 hearing on admissibility and jurisdiction. The cases of #Ukraine v #R…
@maoistbitch @rover_posting and support the growth of Marxist Leninist Maoist parties in Russia &amp; Ukraine. Criticis… https://t.co/x4bVHyci46
RT @VictorAvilaTX: It’s crazy how the Biden Administration suddenly understands borders when they’re Ukraine’s.
"RT @RichardEngel: A Western intelligence official tells me Russia has 60 Battalion Tactical Groups around Ukraine, abt 112-120K troops, and…"
"RT @GeromanAT: Western expert waiting for the ""Imminent Russian Invasion of Ukraine"" https://t.co/aedm9s9dgW"
Does Putin realize how simple it now is for Ukraine to destroy tanks? It doesn't look like he does. He needs to get… https://t.co/YmnNGQBwMS
"RT @Ladyinyellow__: How did my healthy brother die in Ukraine overnight?

A thread.

That's my brother, Fadlullah Agboluaje in this picture…"
"Or didn't age at all
Russia has always been bordering Ukraine but now it's more mainstream"
@Pontifex If @Ukraine would like to enlist the support of https://t.co/eM79qzhmnW he can be utilized to support you… https://t.co/z4PNS6oxs6
"RT @wiczipedia: Okay now everyone read this. 

https://t.co/5I1igd8MFW"
"RT @AJEnglish: US rules out Russian demand to halt NATO’s eastward expansion, but says it is open to talks on arms control ⤵️ https://t.co/…"
"https://t.co/ySF07rvawn

I can only imagine. A former world champion boxer, lived in Germany prior, could probably… https://t.co/VcExIvLHIP"
"RT @MaximeBernier: BREAKING - Trudeau takes hardline approach against Russia, warns Putin not to invade Ukraine unless soldiers can show va…"
