tweet,is_retweet,retweeted,mentioned,hashtags,clean_tweet
@The_Apostate44 @AnaKasparian I think the unquestioned best move here is to back keeping Ukraine an independent cou… https://t.co/YlEL9fL32i,False,[],"['@The_Apostate44', '@AnaKasparian']",[], think unquest best move back keep ukrain independ cou 
RT @LeftFlankVets: United States got weapons to Ukraine faster than Covid tests to its citizens,True,['@LeftFlankVets'],[],[], unit state got weapon ukrain faster covid test citizen
RT @hrkbenowen: The US Embassy in Ukraine Urges American Citizens to Consider Departing NOW https://t.co/LM2yB7cF7U,True,['@hrkbenowen'],[],[], us embassi ukrain urg american citizen consid depart 
"RT @Ladyinyellow__: How did my healthy brother die in Ukraine overnight?

A thread.

That's my brother, Fadlullah Agboluaje in this picture…",True,['@Ladyinyellow__'],[],[], healthi brother die ukrain overnight thread brother fadlullah agboluaj pictur 
RT @afshinrattansi: But why are you supporting the sending of weapons to troops amalgamated with Ukraine's neo-Nazi Azov Battalion? https:/…,True,['@afshinrattansi'],[],[], support send weapon troop amalgam ukrain neo nazi azov battalion 
"RT @Reuters: President Joe Biden does not intend to send unilateral U.S. troops to Ukraine, White House Spokesperson Jen Psaki said, after…",True,['@Reuters'],[],[], presid joe biden intend send unilater u troop ukrain white hous spokesperson jen psaki said 
RT @JuliaDavisNews: Tuckyo Rose is in full bloom on #Russia's state TV. Multiple clips of Tucker Carlson's rants are being used to corrobor…,True,['@JuliaDavisNews'],[],['#Russia'], tuckyo rose full bloom russia state tv multipl clip tucker carlson rant use corrobor 
RT @LOS_Fisher: BREAKING: Britain is in talks to send thousands of extra troops to Eastern Europe *before* any potential Russian invasion o…,True,['@LOS_Fisher'],[],[], break britain talk send thousand extra troop eastern europ potenti russian invas 
@yashalevine The Ukraine/Ukraine is the funniest conniption as using The makes the country sound so much cooler.,False,[],['@yashalevine'],[], ukrain ukrain funniest connipt use make countri sound much cooler 
"@McTeagle74 @AFP @shauntandon @ADAMPLOW @jonathaneebrown What the hell r U on about? Moment Ukraine joins NATO, Ame… https://t.co/14ILQBjMUS",False,[],"['@McTeagle74', '@AFP', '@shauntandon', '@ADAMPLOW', '@jonathaneebrown']",[], hell r u moment ukrain join nato ame 
RT @LeftFlankVets: United States got weapons to Ukraine faster than Covid tests to its citizens,True,['@LeftFlankVets'],[],[], unit state got weapon ukrain faster covid test citizen
"RT @Ladyinyellow__: How did my healthy brother die in Ukraine overnight?

A thread.

That's my brother, Fadlullah Agboluaje in this picture…",True,['@Ladyinyellow__'],[],[], healthi brother die ukrain overnight thread brother fadlullah agboluaj pictur 
RT @IlvesToomas: Germany’s appeasement of Putin risks disaster in Ukraine https://t.co/DQfMMxJqHs,True,['@IlvesToomas'],[],[], germani appeas putin risk disast ukrain 
"RT @DavidPriess: The western part of Ukraine is closer to *Italy* than Ukraine’s capital Kyiv is to Moscow.

Remember this fact as Russian…",True,['@DavidPriess'],[],[], western part ukrain closer itali ukrain capit kyiv moscow rememb fact russian 
"RT @RealPepeEscobar: Pay CLOSE attention to head of Donetsk People’s Republic, D. Pushilin, with his ears on the ground: 

""Ukraine is curr…",True,['@RealPepeEscobar'],[],[], pay close attent head donetsk peopl republ pushilin ear ground ukrain curr 
"RT @Ladyinyellow__: How did my healthy brother die in Ukraine overnight?

A thread.

That's my brother, Fadlullah Agboluaje in this picture…",True,['@Ladyinyellow__'],[],[], healthi brother die ukrain overnight thread brother fadlullah agboluaj pictur 
RT @GoodPoliticGuy: The US government sent lethal weapons to Ukraine before sending us free Covid tests.,True,['@GoodPoliticGuy'],[],[], us govern sent lethal weapon ukrain send us free covid test 
"RT @WriterJackWhite: As @nato meets Russia under Putin's blackmail of 100,000 troops to invade Ukraine. In 2018 after NATO meet after Salis…",True,['@WriterJackWhite'],['@nato'],[], meet russia putin blackmail   troop invad ukrain  nato meet sali 
@WalkerMarcus @OwenEdwards Russia has a history of invading then regretting it - Poland 1920; Finland 1940; Afghani… https://t.co/GTtGxr44km,False,[],"['@WalkerMarcus', '@OwenEdwards']",[], russia histori invad regret poland  finland  afghani 
RT @mariekedehoon: At Eur Court of Human Rights (ECtHR) for the #MH17 hearing on admissibility and jurisdiction. The cases of #Ukraine v #R…,True,['@mariekedehoon'],[],"['#MH17', '#Ukraine']", eur court human right ecthr mh hear admiss jurisdict case ukrain v r 
@maoistbitch @rover_posting and support the growth of Marxist Leninist Maoist parties in Russia &amp; Ukraine. Criticis… https://t.co/x4bVHyci46,False,[],"['@maoistbitch', '@rover_posting']",[], support growth marxist leninist maoist parti russia amp ukrain critici 
